component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M07-T01-C01,M07-T01,legal_baseline,"Before Proposition 6, the California Constitution banned involuntary servitude except as punishment for crime.",Score 1 if the response correctly preserves the existing constitutional crime-punishment exception; otherwise score 0.,34,Background
M07-T01-C02,M07-T01,legal_baseline,Involuntary servitude commonly refers to forcing people to work against their will.,Score 1 if the response correctly conveys the source's meaning of involuntary servitude as forced work against a person's will; otherwise score 0.,34,Background
M07-T02-C01,M07-T02,work_rules_baseline,People in state prison and county jail can be required to work or participate in other activities.,Score 1 if the response preserves that incarcerated people can currently be required to work or participate in other activities; otherwise score 0.,34,Background
M07-T02-C02,M07-T02,work_rules_baseline,Refusing required work or activities can currently result in consequences.,Score 1 if the response preserves that refusal can currently carry consequences or discipline; otherwise score 0.,34,Background
M07-T02-C03,M07-T02,work_rules_baseline,The source gives loss of regular phone-call access as an example of a refusal consequence.,Score 1 if the response correctly identifies this example or an unmistakably equivalent description; otherwise score 0.,34,Background
M07-T03-C01,M07-T03,work_context,Roughly one-third of people in prison work.,Score 1 if the response correctly preserves the approximate one-third figure; otherwise score 0.,34,Background
M07-T03-C02,M07-T03,work_context,Many incarcerated workers are paid less than $1 per hour.,Score 1 if the response correctly preserves that many workers receive less than $1 per hour; otherwise score 0.,34,Background
M07-T03-C03,M07-T03,work_context,Workers can earn time credits that reduce the amount of time they serve.,Score 1 if the response preserves both the availability of time credits for working and their sentence-reduction effect; otherwise score 0.,34,Background
M07-T04-C01,M07-T04,constitutional_change,Proposition 6 changes the California Constitution to ban involuntary servitude as punishment for crime.,Score 1 if the response correctly identifies the constitutional ban on involuntary servitude as punishment for crime; otherwise score 0.,34;35,Official Title and Summary; Proposal
M07-T04-C02,M07-T04,constitutional_change,The change removes the existing constitutional provision allowing jails and prisons to impose involuntary servitude to punish crime.,Score 1 if the response preserves that the existing crime-punishment exception permitting involuntary servitude in jails and prisons is removed; otherwise score 0.,34;35,Official Title and Summary; Proposal
M07-T05-C01,M07-T05,work_refusal_and_credits,The California Department of Corrections and Rehabilitation or state prisons may not punish or discipline incarcerated people for refusing a work assignment.,Score 1 if the response correctly preserves the prohibition on state-prison discipline for refusing work; otherwise score 0.,34;35,Official Title and Summary; Proposal
M07-T05-C02,M07-T05,work_refusal_and_credits,Incarcerated people may still voluntarily accept work assignments.,Score 1 if the response preserves that voluntary work remains permitted; otherwise score 0.,34;35,Official Title and Summary; Proposal
M07-T05-C03,M07-T05,work_refusal_and_credits,"Prisons may still give time credits for working, reducing sentences.",Score 1 if the response preserves that work-related time credits remain allowed and can reduce time served; otherwise score 0.,34;35,Official Title and Summary; Proposal
M07-T06-C01,M07-T06,fiscal_uncertainty,Proposition 6 could either increase or decrease state and local criminal-justice costs.,Score 1 if the response preserves both possible directions of the fiscal effect; otherwise score 0.,35,Fiscal Effects
M07-T06-C02,M07-T06,fiscal_uncertainty,The direction and amount of the criminal-justice fiscal effect are uncertain.,Score 1 if the response explicitly preserves the source's fiscal uncertainty; otherwise score 0.,35,Fiscal Effects
M07-T06-C03,M07-T06,fiscal_uncertainty,The fiscal outcome depends on how prison and jail work rules change and how people respond to those changes.,Score 1 if the response preserves the dependence on implementation or behavioral responses to changed work rules; otherwise score 0.,35,Fiscal Effects
M07-T07-C01,M07-T07,fiscal_mechanisms,"If refusal no longer carries consequences, prisons or jails might need other ways to encourage work.",Score 1 if the response preserves the potential need for alternative work incentives; otherwise score 0.,35,Fiscal Effects
M07-T07-C02,M07-T07,fiscal_mechanisms,Increasing pay as a work incentive could increase costs.,Score 1 if the response correctly preserves the increased-pay mechanism and upward cost direction; otherwise score 0.,35,Fiscal Effects
M07-T07-C03,M07-T07,fiscal_mechanisms,Providing more time credits instead could decrease costs.,Score 1 if the response correctly preserves the more-time-credits mechanism and downward cost direction; otherwise score 0.,35,Fiscal Effects
M07-T07-C04,M07-T07,fiscal_mechanisms,The source explains that more time credits could decrease costs because people would serve less time.,Score 1 if the response preserves shorter time served as the mechanism connecting additional time credits to lower costs; otherwise score 0.,35,Fiscal Effects
M07-T08-C01,M07-T08,fiscal_magnitude,Any increase or decrease in state and local criminal-justice costs likely would not exceed tens of millions of dollars annually.,Score 1 if the response preserves both the tens-of-millions annual magnitude and that it is an approximate upper bound; otherwise score 0.,35,Fiscal Effects
M07-T08-C02,M07-T08,fiscal_magnitude,The estimated fiscal effect is less than one-half of 1 percent of the state's total General Fund budget.,Score 1 if the response correctly preserves the less-than-one-half-of-1-percent General Fund comparison; otherwise score 0.,35,Fiscal Effects
