component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M03-T01-C01,M03-T01,policy_change,Proposition 2 authorizes a state general obligation bond.,Score 1 only if the response identifies the financing mechanism as a state general obligation bond; otherwise score 0.,14;15,Official Title and Summary; Proposal
M03-T01-C02,M03-T01,policy_change,The authorized bond principal is $10 billion.,Score 1 if the response correctly gives the bond amount as approximately $10 billion; otherwise score 0.,14;15,Official Title and Summary; Proposal
M03-T01-C03,M03-T01,policy_change,The bond finances public school and community college facilities.,Score 1 if the response identifies both public school and community college facilities as funded purposes; otherwise score 0.,14;15,Official Title and Summary; Proposal
M03-T02-C01,M03-T02,allocation,"Public school facilities receive $8.5 billion, equal to 85 percent of the bond.",Score 1 if the response correctly identifies public schools as receiving $8.5 billion or 85 percent of the bond; otherwise score 0.,15,Proposal
M03-T02-C02,M03-T02,allocation,"Community college facilities receive $1.5 billion, equal to 15 percent of the bond.",Score 1 if the response correctly identifies community colleges as receiving $1.5 billion or 15 percent of the bond; otherwise score 0.,15,Proposal
M03-T03-C01,M03-T03,allocation,The public-school allocation includes $4.0 billion for renovation of existing buildings.,Score 1 if the response correctly associates approximately $4.0 billion with renovation of existing public-school buildings; otherwise score 0.,15,Uses of Proposed Bond Funds
M03-T03-C02,M03-T03,allocation,"The public-school allocation includes $3.3 billion for new construction, including land purchases.",Score 1 if the response correctly associates approximately $3.3 billion with new public-school construction and/or purchasing land; otherwise score 0.,15,Uses of Proposed Bond Funds
M03-T03-C03,M03-T03,allocation,The public-school allocation includes $600 million for career technical education facilities.,Score 1 if the response correctly associates approximately $600 million with career technical education facilities; otherwise score 0.,15,Uses of Proposed Bond Funds
M03-T03-C04,M03-T03,allocation,The public-school allocation includes $600 million for charter-school facilities.,Score 1 if the response correctly associates approximately $600 million with charter-school facilities; otherwise score 0.,15,Uses of Proposed Bond Funds
M03-T04-C01,M03-T04,implementation,"New-construction and renovation funding would be awarded mainly on a first-come, first-served basis.","Score 1 if the response preserves that new-construction and renovation awards are mainly first-come, first-served; otherwise score 0.",16,Proposal
M03-T04-C02,M03-T04,implementation,Career technical education and charter-school funding would be awarded through competitive applications.,Score 1 if the response preserves that career technical education and charter-school funding uses a competitive application process; otherwise score 0.,16,Proposal
M03-T05-C01,M03-T05,distributional_rule,A small portion of new-construction and renovation funding must be set aside for small school districts.,Score 1 if the response identifies a required set-aside from new-construction and renovation funds for small school districts; otherwise score 0.,16,Proposal
