component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M08-T01-C01,M08-T01,legal_baseline,Statewide minimum wage baseline was $16 per hour.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T01-C02,M08-T01,legal_baseline,Some local governments already had higher minimum wages.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T01-C03,M08-T01,legal_baseline,Existing state law provided annual inflation adjustments subject to its existing rules.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T02-C01,M08-T02,wage_schedule_2025,Employers with 26 or more employees would have an $18 minimum wage in 2025.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T02-C02,M08-T02,wage_schedule_2025,Employers with 25 or fewer employees would have a $17 minimum wage in 2025.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T02-C03,M08-T02,wage_schedule_2025,"Without Proposition 32, the 2025 statewide minimum would be about $16.50.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T02-C04,M08-T02,wage_schedule_2025,Employer size determines the 2025 Proposition 32 schedule.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T03-C01,M08-T03,wage_schedule_2026,The statewide minimum would be $18 for all employees in 2026.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T03-C02,M08-T03,wage_schedule_2026,"Without Proposition 32, the 2026 minimum likely would be about $17.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T03-C03,M08-T03,wage_schedule_2026,Annual inflation adjustments would resume in 2027 under existing rules.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T04-C01,M08-T04,scope_limit,Proposition 32 would not change local minimum-wage laws.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T04-C02,M08-T04,scope_limit,Proposition 32 would not change existing industry-specific higher minimum wages.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T05-C01,M08-T05,worker_effect,Workers otherwise earning below $18 would receive higher wages by 2026.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T05-C02,M08-T05,worker_effect,Some workers already earning somewhat above $18 would likely receive raises as a spillover.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T06-C01,M08-T06,business_price_profit_effect,Some businesses would likely respond to higher labor costs by raising prices.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T06-C02,M08-T06,business_price_profit_effect,The overall price increase likely would be below one-half of 1 percent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T06-C03,M08-T06,business_price_profit_effect,Some business profits would likely decrease.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T07-C01,M08-T07,employment_uncertainty,State employment could increase or decrease.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T07-C02,M08-T07,employment_uncertainty,The employment change likely would be smaller than one-quarter of 1 percent.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T08-C01,M08-T08,government_cost_effect,Government labor costs would increase.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T08-C02,M08-T08,government_cost_effect,Governments would also face higher costs for some contracted work.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T08-C03,M08-T08,government_cost_effect,Changed incomes could reduce enrollment in health and human-services programs and create government savings.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T08-C04,M08-T08,government_cost_effect,Net state and local government costs could increase or decrease.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
M08-T08-C05,M08-T08,government_cost_effect,The annual net cost change likely would not exceed the high hundreds of millions of dollars.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",38;39,Official Title/Summary and Legislative Analyst Analysis
