component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M11-T01-C01,M11-T01,legal_baseline,Proposition 47 changed some theft offenses from felonies to misdemeanors.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T01-C02,M11-T01,legal_baseline,Drug possession generally also became a misdemeanor under Proposition 47.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T02-C01,M11-T02,repeat_theft_felony,Theft worth $950 or less can become a felony when the person has at least two qualifying prior theft convictions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T02-C02,M11-T02,repeat_theft_felony,The resulting sentence can be up to three years in county jail or state prison.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T02-C03,M11-T02,repeat_theft_felony,This change reverses part of Proposition 47's punishment reductions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T03-C01,M11-T03,group_crime_enhancement,Certain theft or property-damage felony sentences can be lengthened when three or more people commit the crime together.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T03-C02,M11-T03,group_crime_enhancement,The additional sentence can be up to three years.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T04-C01,M11-T04,drug_sentence_location,Specified drug-selling sentences can be lengthened based on the amount sold.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T04-C02,M11-T04,drug_sentence_location,Proposition 36 generally requires those specified sentences to be served in state prison.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T05-C01,M11-T05,treatment_mandated_felony,A treatment-mandated felony can apply to possession of specified drugs.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T05-C02,M11-T05,treatment_mandated_felony,The person must have at least two qualifying prior drug convictions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T05-C03,M11-T05,treatment_mandated_felony,People who complete treatment have the charge dismissed.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T05-C04,M11-T05,treatment_mandated_felony,People who do not complete treatment can serve up to three years in state prison.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T05-C05,M11-T05,treatment_mandated_felony,The treatment-mandated-felony change reverses part of Proposition 47's punishment reductions.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T06-C01,M11-T06,murder_warning,Courts must give specified convicted drug sellers or providers a warning about possible murder charges.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T06-C02,M11-T06,murder_warning,The warning concerns later supplying illegal drugs that cause a death.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T06-C03,M11-T06,murder_warning,The warning could make a later murder conviction more likely.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T07-C01,M11-T07,state_population_and_workload,Some people currently sentenced at the county level would instead serve time in state prison.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T07-C02,M11-T07,state_population_and_workload,The state prison population could increase by around a few thousand people.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T07-C03,M11-T07,state_population_and_workload,State court workload would increase because felonies take longer and treatment-mandated felonies create additional workload.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T08-C01,M11-T08,state_fiscal_effect,State criminal-justice costs likely would increase by several tens of millions to the low hundreds of millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
