claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M05-T01,policy_change,Proposition 4 authorizes $10 billion in state general obligation bonds for natural-resources and climate-related projects.,"• Authorizes $10 billion in state general obligation bonds for various projects to reduce climate risks and impacts: $3.8 billion for safe drinking water and water resilience; $1.95 billion for wildfire prevention and extreme heat mitigation; $1.9 billion for protection of natural lands, parks, and wildlife; $1.2 billion for protection of coastal lands, bays, and oceans; $850 million for clean energy; and $300 million for agriculture.

New Bond for Natural Resources and Climate Activities. Proposition 4 allows the state to sell a $10 billion bond for natural resources and climate activities.",M05_official.pdf,24;25,Official Title and Summary; Proposal,"Defines the measure's central financing mechanism, total principal, and overall policy purpose."
M05-T02,funding_delivery,"Much of the bond funding would be distributed through loans and grants to local governments, Native American tribes, not-for-profit organizations, and businesses, while some funding would support state-run activities.","Much of the bond money would be used for loans and grants to local governments, Native American tribes, not-for-profit organizations, and businesses. Some bond money also would be available for state agencies to spend on state-run activities.",M05_official.pdf,25,Proposal,Identifies the institutions through which the bond funding would be delivered and distinguishes external grants from state-run spending.
M05-T03,allocation,"The $10 billion bond is divided among eight broad categories: $3.8 billion for drought, flood, and water supply; $1.5 billion for forest health and wildfire prevention; $1.2 billion for sea-level rise and coastal areas; $1.2 billion for land conservation and habitat restoration; $850 million for energy infrastructure; $700 million for parks; $450 million for extreme heat; and $300 million for farms and agriculture.","Drought, Flood, and Water Supply: $3.8 billion
Goal: Increase the amount and quality of water available for people to use and reduce the risk of flooding.

Forest Health and Wildfire Prevention: $1.5 billion
Goal: Improve the health of forests and protect communities from wildfires.

Sea-Level Rise and Coastal Areas: $1.2 billion
Goal: Reduce the risks from sea-level rise, restore coastal areas, and protect fish.

Land Conservation and Habitat Restoration: $1.2 billion
Goal: Protect and restore natural areas.

Energy Infrastructure: $850 million
Goal: Support the state's shift to more renewable sources of energy, such as offshore wind.

Parks: $700 million
Goal: Expand, renovate, and repair local and state parks.

Extreme Heat: $450 million
Goal: Reduce the effects of extreme heat on communities.

Farms and Agriculture: $300 million
Goal: Help farms respond to the effects of climate change and become more sustainable.

Total: $10 billion",M05_official.pdf,25,Key Goals of Proposition 4 Bond Funds,Captures the measure's principal allocation structure and relative scale of its eight major spending areas.
M05-T04,water_allocation,"Within the $3.8 billion water category, about $1.9 billion would increase water amount and quality, including drought storage and safe drinking water; $1.1 billion would reduce flood risk; remaining funds would support other activities such as river and lake restoration.","Drought, Flood, and Water Supply ($3.8 Billion). Roughly half of this money would be for activities to increase the amount and quality of water available for people to use ($1.9 billion). This would include storing water so it can be used during future droughts, as well as cleaning polluted water to make it safe to drink.

Money would also be used to help reduce the risk of floods, such as by repairing dams and capturing and reusing stormwater ($1.1 billion). The rest of the money would be used for various activities, such as restoring rivers and lakes.",M05_official.pdf,26,"Drought, Flood, and Water Supply",Preserves major suballocations and different water-related purposes within the largest funding category.
M05-T05,wildfire_allocation,"The $1.5 billion forest-health and wildfire allocation would support forest-health and severe-wildfire-risk reduction, including tree thinning, vegetation clearing near communities, and homeowner wildfire-resilience activities.","Forest Health and Wildfire Prevention ($1.5 Billion). All of this money would support activities to improve the health of forests and reduce the risk of severe and destructive wildfires. This would include thinning trees in forests that are overgrown and clearing vegetation near where people live.

Money would also be used for other activities, such as helping homeowners make their properties more resistant to wildfire damage.",M05_official.pdf,26,Forest Health and Wildfire Prevention,Captures the intended wildfire-risk mechanism and the main types of prevention activities described by the source.
M05-T06,coastal_allocation,"Within the $1.2 billion coastal category, $890 million would restore coastal areas and protect against sea-level rise, including wetland buffers, while $310 million would improve ocean habitats and protect fish and other marine wildlife.","Sea-Level Rise and Coastal Areas ($1.2 Billion). Most of this money would pay for activities to restore coastal areas and protect them from the effects of rising sea levels ($890 million). This could include restoring wetlands so they can serve as buffers to rising sea levels.

The rest of this money would be used to improve ocean habitats and protect fish and other marine wildlife ($310 million).",M05_official.pdf,26,Sea-Level Rise and Coastal Areas,Preserves the two distinct coastal spending purposes and their relative allocations.
M05-T07,conservation_allocation,"The $1.2 billion land-conservation and habitat-restoration allocation would protect and restore land for fish and wildlife, including potentially acquiring land so it is not developed.","Land Conservation and Habitat Restoration ($1.2 Billion). This money would be used to protect and restore land for the benefit of fish and wildlife. For example, it could support purchasing land to set aside so that it is not developed.",M05_official.pdf,26,Land Conservation and Habitat Restoration,Captures the principal conservation purpose and a concrete mechanism by which land could be protected.
M05-T08,energy_allocation,"The $850 million energy-infrastructure allocation includes $475 million for offshore wind, $325 million for transmission infrastructure, and $50 million for large electricity-storage batteries.","Energy Infrastructure ($850 Million). More than half of this money would support the development of wind turbines off the California coast ($475 million).

Most of the remaining money would pay for building infrastructure such as transmission lines to carry electricity long distances ($325 million). The rest of the money would pay for projects to build large batteries that store electricity for when it is needed ($50 million).",M05_official.pdf,26,Energy Infrastructure,Captures the three major energy-infrastructure suballocations.
M05-T09,parks_allocation,"The $700 million parks allocation includes $300 million for recreation or climate-impact activities, $200 million in local park grants, and $200 million for state-park repairs and nature education.","Parks ($700 Million). The bulk of this money would support various activities that expand recreational opportunities at parks or reduce the impacts of climate change on parks ($300 million). These activities could include adding new trails and parking areas.

Some of this money would provide grants to local communities to build new parks or renovate existing parks ($200 million).

The rest of this money would be used to repair state parks and provide nature education ($200 million).",M05_official.pdf,26,Parks,Distinguishes the major state and local uses within the parks allocation.
M05-T10,extreme_heat_allocation,"The $450 million extreme-heat allocation includes $200 million for community heat protection, $100 million for places people can use during heatwaves or disasters, and $150 million in local grants for environmental benefits such as reducing air pollution.","Extreme Heat ($450 Million). Much of this money would pay for activities focused on protecting communities from extreme heat ($200 million). These activities could include adding trees and greenspaces.

Money would also support places for people to go during heatwaves or disasters ($100 million).

The rest of the money would provide grants for local communities to conduct activities that provide environmental benefits, such as reducing air pollution ($150 million).",M05_official.pdf,26,Extreme Heat,Preserves the three materially different purposes within the extreme-heat allocation.
