claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M11-T01,legal_baseline,"Proposition 47 had changed some theft and drug-possession offenses from felonies to misdemeanors, including shoplifting worth $950 or less and drug possession generally.","can be sentenced to county jail, county community supervision, and/or a fne for ##### ANALYSIS BY THE LEGISLATIVE ANALYST misdemeanors. Sentences can be up to one year in jail. #### PROPOSITION 47 REDUCED PUNISHMENTS FOR SOME THEFT AND DRUG CRIMES In 2014, Proposition 47 changed some theft and drug crimes from felonies to misdemeanors. For example, shoplifting (stealing items worth $950",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Necessary baseline for understanding which prior punishment reductions Proposition 36 changes.
M11-T02,repeat_theft_felony,"Proposition 36 makes theft of $950 or less a felony for a person with two or more qualifying prior theft convictions, with a sentence of up to three years in county jail or state prison.","Some Misdemeanors Into Felonies._ For example, currently, theft of items worth $950 or - less is generally a misdemeanor. Proposition 36 makes this crime a felony if the person has two or more past convictions for certain theft crimes (such as shoplifting, burglary, ###### C O N T I N U E D or carjacking). The sentence would be up to",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the principal repeat-theft felony change.
M11-T03,group_crime_enhancement,Felony sentences for theft or property damage can be lengthened by up to three years when three or more people commit the crime together.,"in Proposition 47. - _Lengthens Some Felony Sentences._ For example, Proposition 36 allows felony sentences for theft or damage of property to be lengthened by up to three years if three or more people committed the crime together. - _Requires Some Felonies Be Served in Prison._ For example, as discussed above, sentences for selling certain drugs (such as fentanyl, heroin, cocaine,",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures a separate sentence-enhancement mechanism.
M11-T04,drug_sentence_location,Certain enhanced sentences for selling specified drugs would generally have to be served in state prison rather than potentially at the county level.,"felony sentences for theft or damage of property to be lengthened by up to three years if three or more people committed the crime together. - _Requires Some Felonies Be Served in Prison._ For example, as discussed above, sentences for selling certain drugs (such as fentanyl, heroin, cocaine, or methamphetamine) can be lengthened based on the amount sold. Currently, these sentences",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the shift in incarceration responsibility.
M11-T05,treatment_mandated_felony,"Certain drug possession by people with at least two qualifying prior drug convictions can become a treatment-mandated felony; completing treatment results in dismissal, while failure to complete treatment can lead to up to three years in state prison.","requires these sentences be served in prison. #### CREATES NEW COURT PROCESS FOR SOME DRUG POSSESSION CRIMES Proposition 36 allows people who possess illegal drugs to be charged with a “treatment-mandated felony,” instead of a misdemeanor, in some cases. Specifcally, this applies to people who (1) possess certain drugs (such as fentanyl, heroin, cocaine, or methamphetamine) and (2) have two or

under $950-both currently chargeable only as misdemeanors-with two prior drug or two prior theft convictions, as applicable. Defendants who plead guilty to felony drug possession and complete treatment can have charges dismissed. - Increases sentences for other specifed drug and theft crimes. - Increased prison sentences may reduce savings that currently fund mental health and drug treatment programs, K-12 schools, and

or more past convictions for certain theft crimes (such as shoplifting, burglary, ###### C O N T I N U E D or carjacking). The sentence would be up to three years in county jail or state prison. These changes undo some of the punishment reductions in Proposition 47. - _Lengthens Some Felony Sentences._ For example, Proposition 36 allows felony sentences",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures both the treatment pathway and consequence for noncompletion.
M11-T06,murder_warning,"Courts must warn certain people convicted of selling or providing illegal drugs that they could face murder charges if they later provide drugs that kill someone, potentially making a later murder conviction more likely.","a new treatmentfocused court process for some drug possession crimes. Third, it requires courts to warn people convicted of selling or providing illegal drugs to others that they can be charged with murder if they keep doing so and someone dies. #### INCREASES PUNISHMENT FOR SOME THEFT AND DRUG CRIMES Proposition 36 increases punishment for some theft and drug crimes in",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the new warning and its stated legal consequence.
M11-T07,state_population_and_workload,The measure would increase the state prison population by around a few thousand people and increase state court workload because felonies generally take longer and treatment-mandated felonies add proceedings.,"now serve their sentences at the county level to serve them in state prison. Also, it lengthens some prison sentences. In total, the prison population could increase by around a few thousand people. (There are about 90,000 people in prison now.) - _Increase in State Court Workload._ This is because felonies usually take more time to resolve than misdemeanors. Also, treatmentmandated",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the main drivers of state criminal-justice costs.
M11-T08,state_fiscal_effect,"State criminal-justice costs would likely rise by several tens of millions to the low hundreds of millions of dollars annually, less than one-half of 1 percent of the General Fund budget.","SUMMARY OF LEGISLATIVE ANALYST’S ESTIMATE OF NET STATE AND LOCAL GOVERNMENT FISCAL IMPACT: - Increased state criminal justice costs, likely ranging from several tens of millions of dollars to the low hundreds of millions of dollars annually, primarily due to an increase in the prison population. - Increased local criminal justice costs, likely in the tens of millions of dollars annually,",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the magnitude and budget context of the state fiscal effect.
M11-T09,local_population_and_workload,"County jail and community-supervision populations would change in both directions but likely increase on net by around a few thousand people; prosecutors, public defenders, and some county agencies would also face greater workload.","population. This is because some people would spend more time in county jail or on ##### ANALYSIS BY THE LEGISLATIVE ANALYST community supervision. Overall, Proposition 36 likely would increase the county population. This increase could be around a few thousand people. (There are about 250,000 people at the county level now.) - _Increase in Local Court-Related Workload._ It would also increase

around a few thousand people. (There are about 250,000 people at the county level now.) - _Increase in Local Court-Related Workload._ It would also increase workload for local prosecutors and public defenders. This is because felonies usually take more time to resolve than misdemeanors. Also, treatment-mandated felonies would create workload for some county agencies (such as probation or behavioral health departments).",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures both population and workload mechanisms at the local level.
M11-T10,local_fiscal_effect,Local criminal-justice costs would likely increase by tens of millions of dollars annually.,"millions of dollars to the low hundreds of millions of dollars annually, primarily due to an increase in the prison population. - Increased local criminal justice costs, likely in the tens of millions of dollars annually, primarily due to county jail, community supervision, and courtmandated mental health and drug treatment workload. ##### ANALYSIS BY THE LEGISLATIVE ANALYST <!-- Start of picture",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the estimated magnitude of the local fiscal effect.
M11-T11,prop47_savings_effect,"By reducing Proposition 47 savings, Proposition 36 would reduce required spending on mental-health and drug treatment, school truancy and dropout prevention, and victim services by likely low tens of millions of dollars annually.","be spent on mental health and drug treatment, school truancy and dropout prevention, and victim services. These estimated savings totaled ###### C O N T I N U E D $95 million last year. By undoing parts of Proposition 47, Proposition 36 reduces the state savings from Proposition 47. This would reduce the amount the state must spend on mental health

This would reduce the amount the state must spend on mental health and drug treatment, school truancy and dropout prevention, and victim services. This reduction likely would be in the low tens of millions of dollars annually. _Other Fiscal Impacts._ Proposition 36 could have other fscal efects on the state and local governments. For example, if the increased punishments or mandated",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Captures the indirect reduction in funding generated by Proposition 47 savings.
M11-T12,crime_reduction_uncertainty,"If increased punishment or mandated treatment reduces crime, some state and local criminal-justice costs could be avoided, but whether those effects occur is unknown.","of millions of dollars annually. _Other Fiscal Impacts._ Proposition 36 could have other fscal efects on the state and local governments. For example, if the increased punishments or mandated treatment reduce crime, some state and local criminal justice costs could be avoided. However, it is unknown if these or other efects would occur.",M11_official.pdf,58;59;60;61,Official Title/Summary and Legislative Analyst Analysis,Preserves a conditional potential benefit and the source's explicit uncertainty.
