component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M05-T01-C01,M05-T01,policy_change,Proposition 4 authorizes a state general obligation bond.,Score 1 only if the response identifies the financing mechanism as a state general obligation bond; otherwise score 0.,24;25,Official Title and Summary; Proposal
M05-T01-C02,M05-T01,policy_change,The authorized bond principal is $10 billion.,Score 1 if the response correctly states that approximately $10 billion may be borrowed; otherwise score 0.,24;25,Official Title and Summary; Proposal
M05-T01-C03,M05-T01,policy_change,The bond funds natural-resources and climate-related projects.,Score 1 if the response correctly identifies natural-resources and climate-related activities or reduction of climate risks and impacts as the bond's overall purpose; otherwise score 0.,24;25,Official Title and Summary; Proposal
M05-T02-C01,M05-T02,funding_delivery,Much of the bond money would be distributed through loans and grants.,Score 1 if the response preserves that a substantial portion of the funding would be delivered through loans and grants; otherwise score 0.,25,Proposal
M05-T02-C02,M05-T02,funding_delivery,Local governments and Native American tribes are among the recipients of bond-funded loans and grants.,Score 1 if the response identifies both local governments and Native American tribes as eligible recipients; otherwise score 0.,25,Proposal
M05-T02-C03,M05-T02,funding_delivery,Not-for-profit organizations and businesses are among the recipients of bond-funded loans and grants.,Score 1 if the response identifies both not-for-profit organizations and businesses as eligible recipients; otherwise score 0.,25,Proposal
M05-T02-C04,M05-T02,funding_delivery,Some bond money would be available to state agencies for state-run activities.,Score 1 if the response preserves that some funding may be used directly by state agencies for state-run activities; otherwise score 0.,25,Proposal
M05-T03-C01,M05-T03,allocation,"The bond allocates $3.8 billion to drought, flood, and water supply.","Score 1 if the response correctly associates approximately $3.8 billion with drought, flood, and water-supply activities; otherwise score 0.",25,Key Goals of Proposition 4 Bond Funds
M05-T03-C02,M05-T03,allocation,The bond allocates $1.5 billion to forest health and wildfire prevention.,Score 1 if the response correctly associates approximately $1.5 billion with forest health and wildfire prevention; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C03,M05-T03,allocation,The bond allocates $1.2 billion to sea-level rise and coastal areas.,Score 1 if the response correctly associates approximately $1.2 billion with sea-level-rise and coastal-area activities; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C04,M05-T03,allocation,The bond allocates $1.2 billion to land conservation and habitat restoration.,Score 1 if the response correctly associates approximately $1.2 billion with land conservation and habitat restoration; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C05,M05-T03,allocation,The bond allocates $850 million to energy infrastructure.,Score 1 if the response correctly associates approximately $850 million with energy infrastructure; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C06,M05-T03,allocation,The bond allocates $700 million to parks.,Score 1 if the response correctly associates approximately $700 million with parks; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C07,M05-T03,allocation,The bond allocates $450 million to extreme-heat activities.,Score 1 if the response correctly associates approximately $450 million with extreme-heat activities; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
M05-T03-C08,M05-T03,allocation,The bond allocates $300 million to farms and agriculture.,Score 1 if the response correctly associates approximately $300 million with farms and agriculture; otherwise score 0.,25,Key Goals of Proposition 4 Bond Funds
