claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M09-T01,legal_baseline,"Costa-Hawkins limited local rent control by excluding single-family homes, housing built on or after February 1, 1995, and generally preventing limits on initial rents for new tenants.","P A R E D B Y T H E A T T O R N E Y G E N E R A L - Current state law (the Costa-Hawkins Rental Housing Act of 1995) generally prevents cities and counties from limiting the initial rental rate that landlords may charge to new tenants in all types of housing, and from",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Necessary legal baseline for understanding what Proposition 33 repeals.
M09-T02,policy_change,"Proposition 33 would repeal Costa-Hawkins, allowing cities and counties to apply rent control to any housing and to limit rent increases when a new renter moves in.","the _CostaHawkins Rental Housing Act_ (CostaHawkins), limits local rent control laws in three main ways. First, rent control cannot apply to any single-family homes. Second, rent control cannot apply to any housing built on or after February 1, 1995. Third, rent control laws generally cannot tell landlords what they can charge a new renter when frst moving in. Instead, rent control

single-family homes. Second, rent control cannot apply to any housing built on or after February 1, 1995. Third, rent control laws generally cannot tell landlords what they can charge a new renter when frst moving in. Instead, rent control can only limit how much landlords increase rent for existing renters. ## PROPOSAL _Allows Local Governments to Expand Rent Control._ Proposition 33",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Defines the principal expansion of local authority.
M09-T03,implementation_condition,Proposition 33 itself would not change existing local rent-control laws; cities and counties generally would need to take separate actions to change them.,"increase rents when a new renter moves in. The proposition itself does not make any changes to existing local rent control laws. Generally, cities and counties would have to take separate actions to change their local laws. _Limits State Ability to Regulate Rent Control._ Proposition 33 prevents the state from taking future actions to limit local rent control. ## FISCAL EFFECTS",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Crucial qualification distinguishing legal authority from actual local policy change.
M09-T04,state_authority_limit,Proposition 33 would prevent the state from taking future actions that limit local rent control.,"laws. Generally, cities and counties would have to take separate actions to change their local laws. _Limits State Ability to Regulate Rent Control._ Proposition 33 prevents the state from taking future actions to limit local rent control. ## FISCAL EFFECTS _Efects on Renters and Landlords._ If Proposition 33 passes, local rent control laws probably would expand in some communities. This could",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Captures the measure's restriction on future state authority.
M09-T05,renter_effects,"If local rent control expands, some covered renters would spend less on rent, some renters outside rent-controlled properties could spend more, and some renters would move less often.","some communities. This could have many efects on renters, landlords, and rental properties. The most likely efects are: - Some renters who live in properties covered by rent control would spend less on rent. Some renters who live in properties not covered by rent control would spend more on rent. - Some renters would move less often. - Fewer homes would

properties covered by rent control would spend less on rent. Some renters who live in properties not covered by rent control would spend more on rent. - Some renters would move less often. - Fewer homes would be available to rent. One reason for this is that some landlords would sell their properties to new owners who would live there instead",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Captures multiple source-identified renter effects.
M09-T06,rental_supply_effect,"Expanded rent control would likely reduce the number of homes available to rent, partly because some landlords could sell properties to owner-occupants.",control would spend less on rent. Some renters who live in properties not covered by rent control would spend more on rent. - Some renters would move less often. - Fewer homes would be available to rent. One reason for this is that some landlords would sell their properties to new owners who would live there instead of renting it out.,M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Captures the source's main rental-supply mechanism.
M09-T07,property_value_effect,The value of rental housing would likely decline because potential landlords would be willing to pay less for those properties.,be available to rent. One reason for this is that some landlords would sell their properties to new owners who would live there instead of renting it out. - The value of rental housing would decline because potential landlords would not want to pay as much for these properties. ###### C O N T I N U E D by local,M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Connects rent-control expansion to the property-tax mechanism.
M09-T08,effect_uncertainty,"The size of renter, landlord, and property effects would depend on how many properties local governments cover and how strongly rents are limited through future local actions.",much for these properties. ###### C O N T I N U E D by local rent control and how much rents are limited. These things would be decided by future actions of local governments and voters. _Reduced Local Property Tax Revenues._ A decline in the value of rental properties would reduce the amount of property taxes paid by landlords. This,M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Preserves the dependence of effects on future local implementation.
M09-T09,property_tax_effect,"Lower rental-property values would reduce local property-tax revenues by at least tens of millions of dollars annually over time; about half of the reduction would affect schools, and the state might backfill some school losses.","enact, or expand residential rent-control ordinances. #### SUMMARY OF LEGISLATIVE ANALYST’S ESTIMATE OF NET STATE AND LOCAL GOVERNMENT FISCAL IMPACT: - Reduction in local property tax revenues of at least tens of millions of dollars annually due to likely expansion of rent control in some communities. ##### ANALYSIS BY THE LEGISLATIVE ANALYST ## BACKGROUND 33 _Rental Housing Is Expensive in California._

property tax reductions likely would be at least tens of millions of dollars each year (annually). This is less than one-half of 1 percent of all property tax revenue. About half of the reduction would be property tax revenues that would have gone to schools. In some years, the state might give more money to schools to cover their losses. _Increased",M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Captures the principal government revenue effect and school-funding consequence.
M09-T10,administrative_cost,"Expanded local rent control could increase local-government administrative costs from a few million to tens of millions of dollars annually, likely funded by fees on landlords.",increased costs to carry out these laws. These costs could range from a few million dollars to tens of millions of dollars annually. These costs likely would be paid by fees on landlords. ### 33 The size of these efects would depend on how many properties end up being covered,M09_official.pdf,42;43,Official Title/Summary and Legislative Analyst Analysis,Captures implementation costs and their likely funding source.
