component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M06-T01-C01,M06-T01,baseline_bond_mechanism,Local governments use bonds to borrow money and repay it plus interest over time.,Score 1 if the response correctly identifies bonds as borrowing that is repaid with interest; otherwise score 0.,31,Background
M06-T01-C02,M06-T01,baseline_bond_mechanism,Bonds allow repayment costs to be spread over a few decades.,Score 1 if the response preserves the multi-decade cost-spreading feature of bonds; otherwise score 0.,31,Background
M06-T01-C03,M06-T01,baseline_bond_mechanism,"For cities, counties, and special districts, relevant bonds paid by increased property taxes typically required two-thirds voter approval.",Score 1 if the response preserves both the two-thirds baseline and its application to these local-government bonds; otherwise score 0.,31,Background
M06-T01-C04,M06-T01,baseline_bond_mechanism,These locally issued bonds are general obligation bonds.,Score 1 if the response correctly identifies the relevant bonds as general obligation bonds; otherwise score 0.,31,Background
M06-T02-C01,M06-T02,policy_change,Proposition 5 changes California constitutional rules for approving certain local government general obligation bonds.,Score 1 if the response identifies the measure as changing California constitutional approval rules for certain local general obligation bonds; otherwise score 0.,31,Proposal
M06-T02-C02,M06-T02,policy_change,The changed threshold applies to bonds funding housing assistance or public infrastructure.,Score 1 if the response preserves both qualifying purpose categories or clearly states that the threshold applies to these specified uses; otherwise score 0.,31,Proposal
M06-T02-C03,M06-T02,policy_change,The voter approval threshold falls from two-thirds to 55 percent.,Score 1 if the response correctly states both the former two-thirds threshold and the new 55-percent threshold; otherwise score 0.,31,Proposal
M06-T03-C01,M06-T03,eligible_housing_uses,Affordable housing is a qualifying housing purpose.,Score 1 if the response identifies affordable housing as a qualifying purpose; otherwise score 0.,30,Official Title and Summary; Background
M06-T03-C02,M06-T03,eligible_housing_uses,The official summary identifies affordable housing for low- and middle-income Californians.,Score 1 if the response preserves that the affordable-housing purpose concerns low- and middle-income Californians; otherwise score 0.,30,Official Title and Summary; Background
M06-T03-C03,M06-T03,eligible_housing_uses,Housing assistance includes affordable and supportive housing programs.,Score 1 if the response preserves that housing assistance encompasses affordable and supportive housing; otherwise score 0.,30,Official Title and Summary; Background
M06-T04-C01,M06-T04,eligible_infrastructure_uses,Public infrastructure is a qualifying bond purpose.,Score 1 if the response identifies public infrastructure as a qualifying use; otherwise score 0.,30,Official Title and Summary; Background
