component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M04-T01-C01,M04-T01,legal_background,Federal courts have said that same-sex couples can marry.,Score 1 if the response correctly states that federal courts have said or established that same-sex couples may marry; otherwise score 0.,21,Background
M04-T01-C02,M04-T01,legal_background,The California Constitution still contains outdated language saying marriage is only between a man and a woman.,Score 1 if the response correctly identifies the existing California constitutional language limiting marriage to a man and a woman; otherwise score 0.,21,Background
M04-T02-C01,M04-T02,constitutional_right,Proposition 3 would recognize a fundamental right to marry in the California Constitution.,Score 1 if the response identifies recognition of a fundamental right to marry in the California Constitution; otherwise score 0.,20,Official Title and Summary
M04-T02-C02,M04-T02,constitutional_right,The recognized right to marry applies regardless of sex.,Score 1 if the response preserves that the constitutional right applies regardless of sex; otherwise score 0.,20,Official Title and Summary
M04-T02-C03,M04-T02,constitutional_right,The recognized right to marry applies regardless of race.,Score 1 if the response preserves that the constitutional right applies regardless of race; otherwise score 0.,20,Official Title and Summary
M04-T03-C01,M04-T03,constitutional_alignment,Proposition 3 removes California constitutional language stating that marriage is only between a man and a woman.,Score 1 if the response identifies removal of the man-and-woman-only marriage language from the California Constitution; otherwise score 0.,20;21,Official Title and Summary; Proposal
M04-T03-C02,M04-T03,constitutional_alignment,Proposition 3 updates the California Constitution to match what federal courts have said about who may marry.,Score 1 if the response correctly states that the amendment aligns or updates the state Constitution with federal court rulings about who may marry; otherwise score 0.,20;21,Official Title and Summary; Proposal
M04-T04-C01,M04-T04,current_legal_effect,Proposition 3 would not change who is currently allowed to marry in California.,Score 1 if the response explicitly preserves that current marriage eligibility in California would not change; otherwise score 0.,21,Fiscal Effects
M04-T05-C01,M04-T05,fiscal_effect,The measure would cause no change in state government revenues.,"Score 1 if the response states there would be no change in state revenues, or equivalently states there would be no state fiscal/revenue effect that clearly covers revenues; otherwise score 0.",21,Fiscal Effects
M04-T05-C02,M04-T05,fiscal_effect,The measure would cause no change in state government costs.,"Score 1 if the response states there would be no change in state costs, or equivalently states there would be no state fiscal effect that clearly covers costs; otherwise score 0.",21,Fiscal Effects
M04-T05-C03,M04-T05,fiscal_effect,The measure would cause no change in local government revenues.,"Score 1 if the response states there would be no change in local government revenues, or equivalently states there would be no local fiscal/revenue effect that clearly covers revenues; otherwise score 0.",21,Fiscal Effects
M04-T05-C04,M04-T05,fiscal_effect,The measure would cause no change in local government costs.,"Score 1 if the response states there would be no change in local government costs, or equivalently states there would be no local fiscal effect that clearly covers costs; otherwise score 0.",21,Fiscal Effects
