claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M02-T01,baseline_context,The Mental Health Services Act is funded by a tax on annual incomes over $1 million; the tax typically raises about $2 billion to $3.5 billion each year and provides a substantial share of county mental-health funding.,Roughly one-third of the money counties receive to provide mental health services comes from a tax on people with high incomes. The act taxes people with incomes over $1 million per year and requires that the money collected from the tax be used for mental health services. The tax typically raises between $2 billion and $3.5 billion each year (annually).,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Background,Establishes the existing revenue source and scale needed to interpret Proposition 1's reallocation of MHSA money.
M02-T02,affected_groups,Counties generally provide mental-health and drug or alcohol treatment services to people with low incomes and severe mental illnesses.,Counties receive money to provide mental health care and drug or alcohol treatment. Counties generally provide these services to people with low incomes and severe mental illnesses.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",10-11,Mental Health Services Act — Background,Identifies an existing population affected by changes to county behavioral-health funding.
M02-T03,baseline_context,"Under current MHSA rules, at least 95 percent of MHSA tax money goes directly to counties and 5 percent or less goes to state programs; counties have some flexibility within permitted service categories.","Nearly all the money from the tax—at least 95 percent—goes directly to counties, which use it for mental health services. The rest of the money goes to the state to support mental health programs. Counties can only spend the MHSA money on certain types of services, but have flexibility in how to provide those services.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Background,Provides the current-law allocation baseline against which the Proposition 1 state/county shift is measured.
M02-T04,policy_change,"Proposition 1 does not change the MHSA tax itself, but increases the state's share to 10 percent or less and reduces the county share to 90 percent or more.","Proposition 1 does not change the tax on people with incomes over $1 million per year. Figure 1: Use of MHSA Tax Money. Current Law: State programs 5% or less, County programs 95% or more. Proposition 1: State programs 10% or less, County programs 90% or more.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Proposal,Core change in how existing MHSA tax revenue is divided between state and county programs.
M02-T05,intended_benefit,The measure requires the state to dedicate some MHSA funding to increasing the mental-health workforce and preventing mental illness and drug or alcohol addiction across communities.,The proposition also requires the state to spend a dedicated amount of its MHSA money on increasing the number of mental health care workers and preventing mental illness and drug or alcohol addiction across communities.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Proposal,Captures a required use of the state's increased MHSA share.
M02-T06,distributional_effect,"Counties currently may use MHSA money for housing and personalized support services but are not required to spend a particular amount on them; Proposition 1 requires more MHSA money for these uses, leaving less MHSA money available for other mental-health services, while exact allocations depend on future state and county decisions.","Proposition 1 requires that counties spend more of their MHSA money on housing and personalized support services like employment assistance and education. While counties currently can use MHSA money to pay for these types of services, they are not required under MHSA to spend a particular amount on them now. Counties would continue to provide other mental health services under the proposition, but less MHSA money would be available to them for these other mental health services. How much counties would spend on different services would depend on future decisions by the counties and the state.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Proposal,"Captures the current-law counterfactual, the county-level allocation trade-off, and the implementation uncertainty."
M02-T07,policy_change,"Current MHSA rules allow drug or alcohol treatment only when the recipient also has a mental illness, while Proposition 1 allows MHSA money to treat drug or alcohol problems for people without a mental illness.","While counties can spend MHSA money on treatment for drugs and alcohol, the people receiving treatment must also have a mental illness. The proposition also allows counties to use MHSA money on treatment for drugs and alcohol for people without a mental illness.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11,Mental Health Services Act — Background and Proposal,Substantive expansion of the conditions under which MHSA funding can support substance-use treatment.
M02-T08,accountability,Proposition 1 requires annual audits of programs.,Require annual audits of programs.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",10,Official Title and Summary,Explicit accountability safeguard included in the measure.
M02-T09,baseline_context,"California has a treatment-capacity shortage large enough that addressing the identified shortage would require capacity for more than 10,000 additional people at any one time.","California does not have enough places where people can get this care and treatment. This shortage means that many people wait for care or do not receive care at the right type of place. To address the shortage, places for treatment in California would need to be able to see over 10,000 more people at any one time than is possible today.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",11-12,$6.4 Billion Bond — Background,Provides the baseline needed to interpret how much of the treatment shortage the new bond could address.
M02-T10,baseline_context,"An existing state program recently received about $2 billion for treatment facilities; about 75 percent of its grant funding had already been awarded, the program would address less than half of the statewide shortage, and no additional state funding was then planned.","The state budget recently included about $2 billion to build more places for mental health care and drug or alcohol treatment. About 75 percent of this grant funding has been awarded so far. This program will address less than half of the statewide shortage of places for mental health care and drug or alcohol treatment. Currently, no additional state funds for this purpose are planned.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12,$6.4 Billion Bond — Background,Establishes the existing treatment-capacity investment and the incremental context for Proposition 1.
