claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M03-T01,policy_change,Proposition 2 authorizes a $10 billion state general obligation bond for public school and community college facilities.,"• Authorizes $10 billion in state general obligation bonds for repair, upgrade, and construction of facilities at K–12 public schools, including charter schools, and community colleges.

Proposition 2 allows the state to sell a $10 billion bond for public school and community college facilities.",M03_official.pdf,14;15,Official Title and Summary; Proposal,Defines the measure's central financing mechanism and total authorized principal.
M03-T02,allocation,"The bond allocates $8.5 billion, or 85 percent, to public school facilities and $1.5 billion, or 15 percent, to community college facilities.","Of the total, $8.5 billion, or 85 percent, would be used for public school facilities. The remaining $1.5 billion, or 15 percent, would be used for community college facilities.",M03_official.pdf,15,Proposal,Preserves the bond's top-level distribution between the two education systems.
M03-T03,allocation,"The $8.5 billion public-school allocation includes $4.0 billion for renovation, $3.3 billion for new construction including land, $600 million for career technical education facilities, and $600 million for charter schools.","Public School Facilities: $8.5 billion

• Renovation of existing buildings: $4.0 billion

• New construction, including buying land: $3.3 billion

• Facilities for career technical education programs: $0.6 billion

• Charter schools: $0.6 billion",M03_official.pdf,15,Uses of Proposed Bond Funds,Identifies the major prescribed uses and relative scale of the public-school funding.
M03-T04,implementation,"Public-school new-construction and renovation funding would be awarded mainly first-come, first-served, while career technical education and charter-school funding would use competitive applications.","For new construction and renovation projects, school districts would apply for and be awarded funding mainly on a first-come, first-served basis. The state would award the career technical education and charter school funds through a competitive application process.",M03_official.pdf,16,Proposal,Captures a material difference in how separate funding pools are awarded.
M03-T05,distributional_rule,A small portion of public-school new-construction and renovation funding must be reserved for small school districts.,A small portion of new construction and renovation funds must be set aside for small school districts.,M03_official.pdf,16,Proposal,Records a source-explicit set-aside affecting which districts can obtain funding.
M03-T06,allocation_and_governance,"Community-college funding is not divided among prescribed project categories; it may support buildings, renovations, land, and equipment, with colleges preparing statewide priorities and the Governor and Legislature selecting projects.","Unlike the funding for public schools, the $1.5 billion for community colleges is not split in a prescribed way among specific types of projects. Community college bond funds may be used for any mix of new buildings, renovations, land purchases, and equipment.

Community colleges would prepare a plan listing their statewide project priorities. The Governor and the Legislature would select specific projects to fund.",M03_official.pdf,16,Proposal,Preserves both the flexibility of the college allocation and the institutions responsible for prioritization and selection.
M03-T07,intended_use,Up to $115 million in renovation funding may be used to reduce lead levels in water at public-school sites.,Proposition 2 allows up to $115 million in renovation funds to be used for reducing lead levels in water at public school sites.,M03_official.pdf,16,Some Renovation Funding Available for Certain Types of School Projects,Identifies a quantified health-and-safety use of the bond.
M03-T08,intended_use,School districts may receive extra renovation funding to construct or renovate classrooms for transitional kindergarten.,Proposition 2 also allows school districts to receive extra renovation funding to build a new classroom or renovate an existing classroom that would be used for transitional kindergarten.,M03_official.pdf,16,Some Renovation Funding Available for Certain Types of School Projects,Captures a distinct facility purpose tied to the expansion of transitional kindergarten.
M03-T09,intended_use,"In certain cases, districts may receive extra renovation funding for a gymnasium, multipurpose room, library, or school kitchen.","In certain cases, school districts also could receive extra renovation funding to expand or build a new gymnasium, multipurpose room, library, or school kitchen.",M03_official.pdf,16,Some Renovation Funding Available for Certain Types of School Projects,Records additional source-specified uses rather than treating all renovation funding as interchangeable.
M03-T10,state_local_cost_sharing,"For certain school districts, the state's maximum share rises from 50 percent to 55 percent for new construction and from 60 percent to 65 percent for renovation.","For some school districts, Proposition 2 increases the state's share of new construction project costs from 50 percent to as much as 55 percent.

Proposition 2 also increases the state's share of renovation project costs from 60 percent to as much as 65 percent for these school districts.",M03_official.pdf,16,Increases State Share of Costs for Certain School Districts,Captures the change in state-local matching responsibility and both relevant project types.
